date,depart,daylight,tmax,tmin,tavg,dew_point,wet_bulb,heat,cool,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed
2007-05-22,10,1486,87.0,57.5,72.0,45.0,58.0,0.0,7.5,0.0,29.38,30.06,10.05,17.0,10.4
2007-05-23,14,1487,89.0,63.0,75.5,48.5,61.0,0.0,11.5,0.0,29.43,30.1,11.15,18.5,11.5
2007-05-24,14,1489,88.0,64.5,76.0,53.5,63.0,0.0,11.5,0.01,29.44,30.1,14.35,20.5,16.25
2007-05-25,1,1491,68.0,56.5,62.0,45.0,53.0,2.5,0.0,0.04,29.54,30.24,4.7,5.0,8.5
2007-05-26,-5,1493,67.5,49.5,58.5,55.0,56.5,6.5,0.0,0.64,29.39,30.1,2.65,16.0,7.5
2007-05-27,4,1494,75.0,58.0,66.5,48.0,56.5,0.0,1.5,0.06,29.38,30.06,8.55,25.0,9.35
2007-05-28,2,1495,77.5,52.0,64.5,48.0,56.5,0.0,0.0,0.0,29.46,30.14,4.75,9.0,5.25
2007-05-29,10,1496,88.0,62.5,75.0,58.5,65.5,0.0,10.5,0.0,29.42,30.1,5.8,17.0,6.95
2007-05-30,13,1498,88.0,68.0,77.5,57.5,65.5,0.0,13.5,0.0,29.34,30.04,10.0,18.0,10.35
2007-05-31,8,1499,79.0,66.5,72.5,61.0,65.5,0.0,8.0,0.27,29.31,29.99,9.1,18.5,9.55
2007-06-01,10,1501,85.5,64.5,74.5,63.0,66.5,0.0,10.5,0.2,29.22,29.9,4.45,16.5,6.1
2007-06-02,9,1501,81.0,66.5,73.5,62.5,67.0,0.0,9.0,0.02,29.06,29.76,7.0,21.5,7.8
2007-06-03,6,1503,77.5,63.0,70.0,60.0,63.5,0.0,5.5,0.16,28.84,29.55,5.05,24.5,6.95
2007-06-04,1,1504,71.5,57.0,64.0,57.5,60.0,0.5,0.0,0.35,28.85,29.52,7.85,30.5,9.9
2007-06-05,-9,1506,63.5,49.0,56.0,47.5,51.5,8.5,0.0,0.34,29.13,29.78,5.7,4.0,7.85
2007-06-06,-8,1506,72.0,46.0,58.5,47.5,55.0,5.5,0.0,0.0,29.1,29.82,10.2,16.0,11.0
2007-06-07,15,1507,91.5,71.0,81.0,61.5,68.5,0.0,16.5,0.0,28.88,29.55,21.5,19.5,21.9
2007-06-08,3,1508,81.0,60.0,70.5,53.5,61.5,0.0,5.5,0.0,29.21,29.84,10.1,27.0,13.1
2007-06-09,0,1509,79.0,54.5,66.5,48.0,57.5,0.0,2.0,0.0,29.39,30.06,1.35,26.0,4.85
2007-06-10,1,1510,81.0,58.0,69.5,50.5,59.5,0.0,4.5,0.0,29.36,30.04,4.7,16.5,5.7
2007-06-11,5,1510,85.5,61.5,73.5,51.5,61.0,0.0,8.5,0.0,29.44,30.1,5.75,10.0,7.65
2007-06-12,5,1511,82.5,64.0,73.0,50.5,60.5,0.0,8.5,0.0,29.46,30.15,8.85,5.0,9.4
2007-06-13,6,1511,86.5,64.0,75.0,53.0,62.0,0.0,10.5,0.0,29.34,30.02,7.1,5.0,8.6
2007-06-14,9,1512,89.0,66.0,77.0,54.5,63.5,0.0,13.0,0.0,29.33,30.01,5.75,6.0,6.6
2007-06-15,9,1512,90.0,65.0,77.5,56.0,64.5,0.0,12.5,0.0,29.31,29.98,3.95,7.5,4.5
2007-06-16,11,1513,92.5,67.0,79.5,60.5,67.5,0.0,15.0,0.0,29.3,29.96,3.45,25.0,5.95
2007-06-17,12,1513,91.0,70.5,80.5,64.5,70.0,0.0,16.0,0.08,29.26,29.94,3.4,11.0,6.2
2007-06-18,9,1513,89.0,71.0,80.0,65.0,70.0,0.0,15.0,0.15,29.16,29.84,13.1,20.0,13.85
2007-06-19,3,1514,80.5,65.0,72.5,55.0,63.0,0.0,8.0,0.76,29.28,29.94,10.4,28.5,11.35
2007-06-20,3,1514,84.5,61.5,72.5,51.0,61.0,0.0,8.5,0.0,29.42,30.1,6.85,27.5,8.25
2007-06-21,-1,1514,78.5,63.5,71.0,51.0,60.5,0.0,6.0,0.0,29.38,30.07,3.6,2.5,10.15
2007-06-22,-1,1514,75.5,61.5,68.0,49.5,58.0,0.0,4.0,0.0,29.36,30.06,7.15,6.5,8.4
2007-06-23,-5,1514,67.5,61.5,64.0,59.0,61.5,0.0,0.0,0.2,29.26,29.96,7.45,11.5,8.55
2007-06-24,-1,1514,76.0,64.0,70.0,62.0,65.0,0.0,5.0,0.0,29.3,29.96,6.3,9.5,7.0
2007-06-25,6,1514,87.5,66.0,76.5,66.5,70.0,0.0,12.0,0.0,29.41,30.06,3.95,13.0,6.35
2007-06-26,10,1513,91.5,71.5,81.5,69.0,72.0,0.0,16.5,0.08,29.42,30.1,6.7,21.5,7.6
2007-06-27,10,1513,90.0,71.0,80.5,69.5,72.0,0.0,15.5,0.25,29.32,30.01,7.7,24.0,8.65
2007-06-28,-5,1512,73.5,59.5,66.5,55.5,60.5,0.0,1.5,0.0,29.42,30.08,12.05,2.5,12.9
2007-06-29,-8,1512,70.5,56.0,63.0,55.5,59.5,1.5,0.0,0.0,29.44,30.12,7.5,2.0,8.25
2007-06-30,-5,1512,78.0,56.0,66.5,47.5,57.0,0.0,2.5,0.0,29.44,30.12,5.0,3.5,6.0
2007-07-01,-7,1511,75.5,57.5,66.0,51.5,58.5,0.0,2.0,0.0,29.54,30.22,9.05,4.0,9.15
2007-07-02,-6,1511,78.0,55.5,66.5,50.0,58.5,0.0,2.0,0.0,29.52,30.22,6.65,13.0,8.3
2007-07-03,0,1510,83.0,61.5,72.0,56.5,63.0,0.0,7.5,0.24,29.34,30.06,6.55,21.0,7.35
2007-07-04,5,1508,85.0,67.0,75.5,65.0,69.0,0.0,11.5,0.41,29.2,29.89,3.85,26.0,8.5
2007-07-05,8,1508,88.5,70.5,79.5,60.0,67.0,0.0,14.5,0.0,29.26,29.93,5.35,32.0,7.5
2007-07-06,4,1507,85.0,67.0,76.0,57.0,64.5,0.0,11.0,0.0,29.35,30.02,3.25,6.0,5.5
2007-07-07,5,1507,89.0,66.0,77.5,62.5,68.5,0.0,12.5,0.0,29.21,29.9,7.9,22.5,8.35
2007-07-08,12,1505,93.5,75.0,84.0,67.0,72.0,0.0,19.5,0.0,29.08,29.76,12.75,23.5,12.9
2007-07-09,9,1504,93.5,71.0,82.0,66.5,70.5,0.0,17.5,0.27,29.14,29.8,4.85,23.5,8.8
2007-07-10,6,1504,89.0,69.5,79.0,67.0,70.5,0.0,14.5,0.26,29.1,29.76,8.4,23.0,10.35
2007-07-11,-3,1502,77.0,62.5,69.5,51.0,59.0,0.0,5.0,0.0,29.26,29.92,8.95,30.0,11.05
2007-07-12,-2,1501,80.0,60.5,70.0,51.0,59.5,0.0,5.5,0.0,29.25,29.92,9.7,28.5,11.25
2007-07-13,-5,1499,76.0,58.5,67.0,52.5,58.5,0.0,2.5,0.0,29.3,29.98,1.7,4.0,5.55
2007-07-14,0,1499,84.5,61.5,72.5,55.0,62.0,0.0,8.5,0.0,29.11,29.79,8.35,25.5,13.55
2007-07-15,-3,1497,81.0,62.0,71.5,52.5,61.0,0.0,6.5,0.0,29.22,29.88,1.65,19.0,5.7
2007-07-16,0,1495,82.0,65.5,73.5,60.0,65.0,0.0,9.0,0.23,29.28,29.95,5.0,23.5,5.9
2007-07-17,2,1494,83.0,68.5,75.5,65.5,69.0,0.0,11.0,0.11,29.21,29.9,5.75,23.0,6.95
2007-07-18,3,1492,85.0,69.0,77.0,68.5,71.0,0.0,12.0,1.24,29.14,29.84,9.7,24.0,10.35
2007-07-19,-1,1490,82.5,63.0,72.5,62.5,66.0,0.0,8.0,0.08,29.24,29.89,7.35,18.5,13.15
2007-07-20,-7,1490,74.5,60.0,67.0,52.5,59.0,0.0,2.5,0.0,29.46,30.13,9.95,3.5,10.3
2007-07-21,-8,1488,74.5,58.0,66.0,52.0,58.5,0.0,1.5,0.0,29.54,30.22,6.15,3.5,7.4
2007-07-22,-4,1486,81.0,59.5,70.0,54.5,61.0,0.0,5.5,0.0,29.52,30.2,1.8,17.0,3.4
2007-07-23,-2,1484,82.5,61.5,71.5,55.0,63.0,0.0,7.5,0.0,29.4,30.1,3.05,10.5,3.95
2007-07-24,0,1482,82.0,65.0,73.0,57.5,64.0,0.0,9.0,0.0,29.35,30.04,2.1,20.5,5.05
2007-07-25,4,1480,84.0,70.5,77.0,60.5,66.5,0.0,12.5,0.0,29.32,29.99,6.1,24.0,6.8
2007-07-26,1,1479,83.5,65.0,74.0,65.0,68.0,0.0,9.5,0.54,29.22,29.92,7.2,22.0,9.65
2007-07-27,3,1477,83.0,70.0,76.0,67.5,70.0,0.0,12.0,0.11,29.14,29.81,2.1,19.5,8.0
2007-07-28,-1,1475,80.0,68.0,74.0,65.0,68.0,0.0,9.0,0.0,29.26,29.92,10.3,3.0,10.45
2007-07-29,0,1473,85.0,65.0,75.0,56.5,64.0,0.0,10.0,0.0,29.31,29.98,5.55,5.0,6.3
2007-07-30,2,1471,87.5,63.5,75.0,56.0,64.5,0.0,11.0,0.0,29.36,30.02,3.45,6.0,4.45
2007-07-31,6,1469,90.0,68.5,79.0,60.5,68.0,0.0,14.5,0.0,29.36,30.03,3.65,5.5,4.95
2007-08-01,8,1466,91.5,69.0,80.0,62.5,69.5,0.0,15.5,0.0,29.32,29.99,2.8,11.0,3.9
2007-08-02,8,1464,91.0,71.5,81.0,66.0,71.5,0.0,16.5,0.0,29.28,29.96,6.0,24.5,6.55
2007-08-03,7,1462,89.0,71.0,79.5,57.0,66.5,0.0,15.5,0.0,29.34,30.01,3.0,4.5,5.75
2007-08-04,0,1460,81.0,66.0,73.0,58.0,64.5,0.0,9.0,0.02,29.34,30.02,5.8,8.5,6.35
2007-08-05,5,1458,88.0,67.5,77.5,71.0,72.5,0.0,13.0,1.2,29.12,29.8,6.2,21.5,9.9
2007-08-06,8,1456,86.5,74.5,80.5,72.0,74.0,0.0,15.5,0.16,29.15,29.82,2.1,10.0,4.75
2007-08-07,9,1453,91.5,72.5,81.5,73.0,76.0,0.0,17.5,0.68,29.08,29.75,6.25,24.5,8.9
2007-08-08,7,1451,87.0,73.5,80.0,71.5,73.5,0.0,15.5,0.08,29.16,29.82,2.25,3.5,6.65
2007-08-09,5,1449,84.5,72.5,78.5,71.0,73.0,0.0,13.5,0.26,29.16,29.83,2.8,28.0,6.15
2007-08-10,5,1446,86.0,71.5,78.5,68.5,72.0,0.0,14.0,0.0,29.29,29.95,3.75,4.0,5.65
2007-08-11,5,1404,88.5,67.5,78.0,65.0,70.0,0.0,13.0,0.0,29.34,30.01,3.15,19.5,3.9
2007-08-12,5,1402,87.5,67.5,77.0,67.0,70.5,0.0,13.0,0.26,29.37,30.05,1.8,6.0,6.0
2007-08-13,0,1399,80.5,67.0,73.5,55.5,63.5,0.0,9.0,0.0,29.42,30.1,6.55,7.0,7.3
2007-08-14,3,1397,84.0,65.0,74.0,66.5,69.5,0.0,10.0,0.43,29.26,29.92,6.15,24.0,8.5
2007-08-15,4,1395,80.5,71.5,75.5,68.0,70.5,0.0,11.5,0.53,29.2,29.88,4.15,6.5,6.45
2007-08-16,-1,1352,77.0,66.0,71.5,64.5,67.5,0.0,6.5,0.0,29.3,29.96,3.55,1.0,5.7
2007-08-17,-2,1350,79.5,62.5,70.5,54.0,61.5,0.0,6.5,0.0,29.44,30.09,6.0,31.5,7.1
2007-08-18,-8,1347,68.5,59.5,63.5,54.0,58.0,0.5,0.0,0.26,29.46,30.16,6.25,12.5,7.55
2007-08-19,-6,1345,68.5,62.0,65.0,62.5,64.0,0.0,0.5,1.33,29.27,29.98,5.75,10.0,7.45
2007-08-20,2,1342,77.0,68.0,72.5,68.5,69.5,0.0,7.5,0.7,29.18,29.86,1.45,16.0,5.8
2007-08-21,7,1340,86.0,69.0,77.5,70.0,72.0,0.0,12.5,0.0,29.24,29.9,3.65,17.5,6.0
2007-08-22,9,1337,90.0,69.5,79.5,70.5,73.0,0.0,15.0,0.62,29.26,29.94,5.2,21.0,8.95
2007-08-23,7,1334,88.0,69.5,78.5,69.0,71.0,0.0,14.0,2.16,29.18,29.86,8.15,21.0,10.4
2007-08-24,4,1331,80.5,69.0,74.5,67.0,69.0,0.0,10.0,0.22,29.14,29.82,5.65,25.0,7.2
2007-08-25,2,1329,77.5,64.5,70.5,63.0,66.0,0.0,6.5,0.3,29.26,29.92,2.7,19.5,6.0
2007-08-26,0,1326,78.5,60.5,69.0,55.0,61.5,0.0,5.0,0.0,29.41,30.08,3.65,11.0,5.0
2007-08-27,0,1323,79.0,61.5,70.0,59.5,64.0,0.0,5.5,0.0,29.38,30.06,6.45,16.5,7.35
2007-08-28,9,1321,90.5,68.0,79.0,65.5,70.0,0.0,14.5,0.0,29.31,29.98,8.4,20.5,8.9
2007-08-29,7,1318,85.5,68.5,76.5,64.5,69.0,0.0,12.5,0.0,29.36,30.03,5.45,3.0,8.5
2007-08-30,-4,1316,75.0,58.5,66.5,54.0,60.5,0.0,2.0,0.0,29.49,30.16,9.95,2.5,10.4
2007-08-31,-2,1313,76.5,57.0,66.5,53.0,59.5,0.0,2.0,0.0,29.49,30.18,3.45,5.0,4.9
2007-09-01,1,1310,80.0,58.5,69.0,55.5,61.5,0.0,4.5,0.0,29.52,30.21,4.3,11.0,4.7
2007-09-02,5,1308,84.5,61.5,73.0,56.5,63.0,0.0,8.0,0.0,29.44,30.14,4.5,21.0,5.5
2007-09-03,9,1305,88.0,65.0,76.5,61.0,67.0,0.0,11.5,0.0,29.39,30.08,2.5,26.0,6.0
2007-09-04,8,1302,89.5,65.0,77.0,59.5,66.5,0.0,12.5,0.0,29.31,29.99,2.5,23.0,4.65
2007-09-05,11,1300,90.5,69.0,79.5,62.5,69.0,0.0,15.0,0.0,29.28,29.95,6.4,19.0,6.6
2007-09-06,11,1297,83.0,73.5,78.0,66.5,70.0,0.0,13.5,0.13,29.24,29.92,12.35,20.0,12.55
2007-09-07,10,1294,84.0,70.5,77.0,67.5,70.0,0.0,12.5,0.43,29.18,29.84,9.95,23.0,13.45
2007-09-08,5,1291,78.0,66.0,72.0,57.5,63.5,0.0,7.0,0.0,29.32,29.99,7.2,5.0,8.3
2007-09-09,6,1289,79.5,63.0,71.0,59.0,63.5,0.0,6.5,0.0,29.38,30.04,9.65,3.0,10.4
2007-09-10,-2,1286,73.5,54.5,64.0,58.5,61.0,1.0,0.0,0.3,29.32,30.02,7.3,2.5,9.35
2007-09-11,-4,1283,71.0,50.5,60.5,44.0,52.0,4.0,0.0,0.0,29.23,29.92,11.9,29.0,13.6
2007-09-12,-8,1281,66.5,46.0,56.0,42.5,49.5,8.5,0.0,0.0,29.43,30.12,1.85,4.0,5.8
2007-09-13,-1,1278,78.5,51.5,65.0,44.0,54.0,0.5,0.5,0.0,29.26,29.98,7.7,19.5,8.1
2007-09-14,-8,1275,66.5,46.0,56.0,39.5,48.5,8.5,0.0,0.0,29.38,30.04,11.9,32.0,13.2
2007-09-15,-14,1272,61.5,40.5,51.0,34.0,44.0,14.0,0.0,0.0,29.59,30.28,1.25,34.0,6.25
2007-09-16,-6,1228,71.5,46.5,58.5,39.0,49.5,5.5,0.0,0.0,29.49,30.2,7.25,18.0,7.8
2007-09-17,2,1225,80.0,53.5,66.5,48.5,57.0,0.0,2.0,0.0,29.42,30.12,11.15,17.0,11.55
2007-09-18,12,1221,88.5,64.5,76.0,57.5,65.0,0.0,12.0,0.0,29.38,30.06,12.7,19.0,12.95
2007-09-19,12,1219,84.0,66.5,75.0,59.0,65.0,0.0,10.5,0.0,29.44,30.1,4.25,25.5,9.35
2007-09-20,7,1216,77.0,61.5,69.0,59.0,63.5,0.0,4.5,0.0,29.42,30.11,5.45,7.5,6.35
2007-09-21,14,1213,89.0,66.0,77.5,59.0,66.0,0.0,12.5,0.0,29.2,29.9,10.05,21.5,11.95
2007-09-22,1,1210,73.0,54.5,63.5,44.0,54.0,1.0,0.0,0.0,29.45,30.11,3.45,2.0,7.25
2007-09-23,6,1208,83.5,52.5,68.0,50.0,58.5,0.0,3.0,0.0,29.46,30.16,5.25,12.5,5.85
2007-09-24,18,1205,90.5,69.5,80.0,62.5,68.5,0.0,15.0,0.0,29.3,29.98,10.7,19.0,11.2
2007-09-25,13,1202,84.0,65.0,74.5,65.5,69.0,0.0,9.5,0.14,29.26,29.94,7.6,23.0,9.95
2007-09-26,1,1199,68.5,54.0,61.0,50.5,55.5,3.5,0.0,0.12,29.34,30.02,4.55,1.5,6.95
2007-09-27,2,1197,74.5,50.5,62.5,49.0,55.0,2.5,0.0,0.0,29.28,29.97,4.7,24.5,6.15
2007-09-28,4,1194,73.0,53.0,63.0,46.0,53.5,2.0,0.0,0.0,29.49,30.16,2.7,5.5,6.85
2007-09-29,6,1191,81.0,51.0,66.0,45.5,55.0,0.0,1.0,0.0,29.54,30.23,8.95,17.0,9.3
2007-09-30,12,1188,83.5,60.0,71.5,48.5,59.0,0.0,7.0,0.14,29.4,30.1,13.65,19.0,13.9
2007-10-01,6,1186,68.5,59.0,63.5,59.0,61.0,1.0,0.0,0.23,29.32,30.0,7.0,21.5,8.5
2007-10-02,10,1183,79.0,58.0,68.0,59.0,63.0,0.0,4.0,0.1,29.22,29.92,10.4,19.0,10.7
2007-10-03,8,1180,74.0,55.5,64.5,47.5,56.0,0.0,0.0,0.0,29.31,29.98,5.35,25.5,7.1
2007-10-04,10,1177,82.5,53.5,67.5,56.0,61.5,0.0,3.5,0.0,29.36,30.04,4.25,17.0,5.25
2007-10-05,16,1174,84.5,65.0,74.5,65.0,68.5,0.0,10.0,0.03,29.39,30.07,6.9,17.5,7.0
2007-10-06,22,1171,87.5,70.0,78.5,66.5,70.5,0.0,14.0,0.0,29.36,30.04,6.65,20.5,7.05
2007-10-07,21,1169,87.5,68.5,78.0,65.5,70.0,0.0,13.0,0.0,29.34,30.02,5.25,19.0,5.9
2007-10-08,18,1166,87.5,61.0,74.0,60.5,66.0,0.0,9.5,0.0,29.26,29.92,7.5,24.0,10.0
2007-10-09,8,1163,76.5,49.5,62.5,44.0,53.0,1.5,0.0,0.0,29.24,29.94,11.8,28.0,13.05
2007-10-10,-4,1161,53.5,47.0,50.0,37.5,44.0,14.5,0.0,0.0,29.24,29.93,14.75,31.0,15.05
2007-10-11,-4,1158,55.0,47.0,51.0,39.0,45.0,14.0,0.0,0.0,29.31,30.01,13.25,36.0,14.2
2007-10-12,-5,1115,56.5,43.0,49.5,35.0,43.0,15.0,0.0,0.0,29.31,30.02,3.1,35.5,5.0
2007-10-13,-3,1112,59.0,42.0,50.0,40.5,47.0,14.0,0.0,0.0,29.34,30.04,3.15,20.5,4.1
2007-10-14,4,1109,62.0,54.0,58.0,48.0,52.5,7.0,0.0,0.08,29.37,30.06,5.65,11.5,6.3
2007-10-15,10,1107,75.5,53.0,64.0,51.0,57.0,1.0,0.5,0.06,29.24,29.94,5.35,15.0,6.25
2007-10-16,8,1104,67.5,54.0,60.5,54.5,57.5,4.0,0.0,0.22,29.2,29.88,6.45,21.0,7.4
2007-10-17,8,1101,73.0,48.5,60.5,53.0,57.0,4.0,0.0,0.08,29.1,29.83,8.95,14.0,9.45
2007-10-18,18,1099,78.5,59.5,68.5,56.5,61.5,0.0,4.5,0.32,28.63,29.34,16.35,19.0,18.05
2007-10-19,5,1096,60.5,52.5,56.5,48.0,52.0,8.5,0.0,0.0,28.78,29.44,16.95,24.0,17.35
2007-10-20,10,1093,73.5,47.0,60.0,43.0,52.0,4.5,0.0,0.0,29.06,29.72,11.0,21.0,11.85
2007-10-21,20,1090,79.5,60.5,70.0,46.5,56.5,0.0,5.0,0.0,29.12,29.78,17.35,20.0,17.5
2007-10-22,7,1048,66.5,46.5,56.0,47.0,50.5,8.0,0.0,0.16,29.29,29.96,5.5,18.5,9.75
2007-10-23,2,1045,55.5,44.5,49.5,37.5,44.5,14.5,0.0,0.02,29.23,29.93,4.6,31.0,8.05
2007-10-24,0,1043,54.0,44.0,49.0,35.0,42.5,16.0,0.0,0.0,29.48,30.16,14.65,2.0,15.9
2007-10-25,2,1040,56.0,45.0,50.5,39.5,46.0,14.5,0.0,0.0,29.49,30.2,14.2,6.0,14.4
2007-10-26,11,1037,65.5,53.0,59.0,48.5,52.0,5.5,0.0,0.37,29.34,30.06,5.2,5.5,7.05
2007-10-27,-2,1035,56.0,38.0,47.0,39.5,45.5,18.0,0.0,0.04,29.59,30.25,8.65,31.5,9.5
2007-10-28,-2,1032,56.0,34.0,45.0,30.0,39.0,20.0,0.0,0.0,29.82,30.52,3.45,23.0,4.15
2007-10-29,3,1030,60.5,39.0,49.5,32.0,42.0,15.0,0.0,0.0,29.66,30.4,9.65,22.0,9.85
2007-10-30,8,1027,66.0,41.5,53.5,37.5,46.0,11.0,0.0,0.0,29.47,30.21,11.5,20.0,11.7
2007-10-31,6,1024,62.5,42.0,52.0,37.5,46.0,12.5,0.0,0.0,29.33,30.02,12.2,25.0,14.65
2008-05-01,8,1401,73.5,48.0,60.5,51.0,56.5,4.0,0.0,0.0,28.98,29.67,10.2,16.5,10.95
2008-05-02,9,1403,74.0,53.0,63.0,55.5,59.0,1.0,0.0,1.01,28.82,29.52,12.85,19.5,14.05
2008-05-03,-4,1405,56.0,43.5,49.5,41.5,46.0,15.0,0.0,0.0,29.04,29.69,10.8,25.0,12.7
2008-05-04,-2,1408,65.5,38.5,51.5,33.5,45.0,12.5,0.0,0.0,29.34,30.02,5.35,23.5,5.95
2008-05-05,8,1410,74.5,50.0,62.0,38.0,50.0,2.5,0.0,0.0,29.3,29.99,4.05,24.5,6.6
2008-05-06,9,1413,81.5,49.0,65.0,43.5,55.0,0.5,1.0,0.0,29.2,29.88,6.6,22.0,7.95
2008-05-07,5,1415,70.5,49.5,59.5,52.5,56.0,4.5,0.0,0.74,29.0,29.69,2.7,22.5,11.7
2008-05-08,-4,1418,59.0,46.0,52.5,35.5,44.5,12.5,0.0,0.0,29.11,29.82,13.25,5.0,13.8
2008-05-09,-6,1420,58.0,41.5,49.5,34.5,43.5,15.0,0.0,0.0,29.17,29.85,6.4,3.0,6.95
2008-05-10,-6,1422,61.0,39.5,50.0,38.0,45.5,14.5,0.0,0.0,29.12,29.84,5.95,7.5,6.45
2008-05-11,-5,1424,59.0,46.5,52.5,43.5,47.5,12.0,0.0,1.2,28.87,29.54,14.4,2.0,17.75
2008-05-12,-9,1466,54.5,40.5,47.5,38.5,43.0,17.5,0.0,0.0,29.29,29.96,5.0,6.5,7.7
2008-05-13,-1,1468,73.0,42.5,57.5,45.0,51.5,7.0,0.0,0.2,29.24,29.94,14.6,18.0,15.15
2008-05-14,-3,1470,62.5,45.5,53.5,48.5,52.0,10.5,0.0,0.02,29.22,29.89,2.25,23.0,9.25
2008-05-15,-8,1472,57.0,43.0,50.0,37.0,45.0,15.0,0.0,0.0,29.35,30.05,7.15,5.0,8.0
2008-05-16,-2,1474,72.5,40.5,56.0,41.0,50.0,8.0,0.0,0.0,29.13,29.86,8.6,25.0,9.1
2008-05-17,4,1476,73.0,51.0,61.5,41.0,52.0,2.5,0.0,0.19,28.9,29.61,12.05,29.5,14.4
2008-05-18,-10,1478,55.0,44.5,49.5,39.5,45.5,15.0,0.0,0.0,28.96,29.64,2.55,34.5,8.05
2008-05-19,-10,1480,59.5,41.0,50.0,33.5,43.5,14.5,0.0,0.0,28.99,29.69,4.15,7.0,5.95
2008-05-20,-4,1482,65.0,48.0,56.0,37.0,47.0,8.0,0.0,0.0,28.97,29.66,7.1,30.5,8.45
2008-05-21,-7,1484,65.5,43.0,54.0,36.0,46.0,10.5,0.0,0.0,29.02,29.7,7.0,32.5,9.0
2008-05-22,-9,1486,57.5,46.0,51.5,38.0,45.0,13.0,0.0,0.0,29.26,29.94,9.65,5.0,10.5
2008-05-23,-9,1487,58.0,47.0,52.0,39.5,45.5,12.0,0.0,0.0,29.44,30.12,10.55,3.0,10.8
2008-05-24,-8,1489,67.5,42.0,54.5,39.0,48.0,10.0,0.0,0.0,29.48,30.18,7.15,7.0,7.9
2008-05-25,-1,1491,78.0,47.5,62.5,49.0,57.0,2.0,0.0,0.0,29.22,29.93,10.7,17.5,12.15
2008-05-26,2,1493,82.5,50.0,66.0,60.0,64.5,0.5,2.0,0.24,29.14,29.8,6.75,24.5,11.9
2008-05-27,-16,1494,51.5,43.5,47.5,35.5,42.5,17.5,0.0,0.0,29.52,30.18,18.6,2.5,18.35
2008-05-28,-10,1495,61.5,44.0,52.5,33.5,43.5,12.0,0.0,0.0,29.63,30.34,8.0,6.5,8.6
2008-05-29,-9,1496,67.5,43.5,55.0,37.5,47.5,9.0,0.0,0.04,29.42,30.16,2.85,10.5,4.0
2008-05-30,2,1498,77.0,56.5,66.5,59.5,62.5,0.0,2.0,0.35,29.06,29.79,8.9,20.5,10.55
2008-05-31,5,1499,79.0,59.5,69.0,56.0,62.0,0.0,4.5,0.0,29.12,29.8,10.95,28.0,12.1
